"year","type_of_violence","conflict_name","side_a","side_b","source_date","country","event_clarity","deaths_civilians","date_start","date_end"
2024,1,"India: Kashmir","Government of India","Kashmir insurgents","2024-04-11;2024-04-11;2024-05-06;2024-04-11","India",1,0,2024-04-11,2024-04-11
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-03","Israel",1,0,2024-03-29,2024-04-02
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-03","Israel",1,0,2024-04-02,2024-04-03
2024,1,"Pakistan: Government","Government of Pakistan","HGB","2024-04-18;2024-04-18;2024-04-17","Pakistan",1,0,2024-04-16,2024-04-17
2024,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2024-04-15","Afghanistan",1,0,2024-04-14,2024-04-14
2024,2,"Garre subclan of Digil clan (Digil-Mirifle) - Jiddo subclan of Digil clan (Digil-Mirifle)","Garre subclan of Digil clan (Digil-Mirifle)","Jiddo subclan of Digil clan (Digil-Mirifle)","2024-04-18","Somalia",1,0,2024-04-18,2024-04-18
2024,3,"Al-Shabaab - Civilians","Al-Shabaab","Civilians","2024-04-07","Somalia",1,1,2024-04-04,2024-04-04
2024,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2024-04-20;2024-04-20;2024-04-20;2024-04-21;2024-04-21;2024-04-20;2024-04-20;2024-04-20;2024-04-21","Afghanistan",1,0,2024-04-20,2024-04-20
2024,1,"Afghanistan: Government","Government of Afghanistan","NRF","2024-04-20;2024-04-20","Afghanistan",1,0,2024-04-20,2024-04-20
2024,3,"Government of Afghanistan - Civilians","Government of Afghanistan","Civilians","2024-04-21","Pakistan",1,0,2024-04-15,2024-04-20
2024,1,"Somalia: Government","Government of Somalia","Al-Shabaab","2024-04-10;2024-04-08","Somalia",1,0,2024-04-06,2024-04-08
2024,1,"Somalia: Government","Government of Somalia","Al-Shabaab","2024-04-09;2024-04-10;2024-04-10;2024-04-08","Somalia",1,0,2024-04-08,2024-04-08
2024,1,"Afghanistan: Government","Government of Afghanistan","NRF","2024-04-27;2024-04-27","Afghanistan",1,0,2024-04-27,2024-04-27
2024,1,"Cameroon: Ambazonia","Government of Cameroon","Ambazonia insurgents","2024-04-11;2024-04-13","Cameroon",1,3,2024-04-11,2024-04-11
2024,1,"Cameroon: Ambazonia","Government of Cameroon","Ambazonia insurgents","2024-04-25","Cameroon",1,0,2024-04-24,2024-04-24
2024,3,"Ambazonia insurgents - Civilians","Ambazonia insurgents","Civilians","2024-04-30","Cameroon",1,3,2024-04-29,2024-04-29
