"country","year_month","state_based_conflict","one_sided_violence","non_state_conflict","deaths_civilians","type_of_violence_category"
"Cameroon",2013-12-01,0,1,0,1,4
"Cameroon",2014-05-01,0,0,0,0,1
"Cameroon",2014-06-01,0,0,0,0,1
"Cameroon",2014-07-01,0,0,0,0,1
"Cameroon",2014-08-01,0,3,0,3,5
"Cameroon",2014-09-01,0,23,0,23,5
"Cameroon",2014-10-01,8,34,0,42,5
"Cameroon",2014-11-01,0,7,0,7,4
"Cameroon",2014-12-01,0,6,0,6,5
"Cameroon",2015-01-01,0,54,0,54,5
"Cameroon",2015-02-01,0,130,0,130,5
"Cameroon",2015-03-01,0,10,0,10,5
"Cameroon",2015-04-01,0,16,0,16,4
"Cameroon",2015-05-01,0,0,0,0,1
"Cameroon",2015-06-01,0,0,0,0,1
"Cameroon",2015-07-01,0,49,0,49,5
"Cameroon",2015-08-01,0,30,0,30,5
"Cameroon",2015-09-01,2,7,0,9,5
"Cameroon",2015-10-01,0,19,0,19,5
"Cameroon",2015-11-01,0,15,0,15,5
"Cameroon",2015-12-01,0,8,0,8,5
"Cameroon",2016-01-01,0,69,0,69,5
"Cameroon",2016-02-01,3,67,0,70,5
"Cameroon",2016-03-01,1,8,0,9,5
"Cameroon",2016-04-01,0,9,0,9,5
"Cameroon",2016-05-01,0,11,0,11,5
"Cameroon",2016-06-01,0,35,0,35,5
"Cameroon",2016-07-01,0,23,0,23,5
"Cameroon",2016-08-01,0,3,0,3,5
"Cameroon",2016-09-01,0,5,0,5,5
"Cameroon",2016-10-01,0,6,0,6,5
"Cameroon",2016-11-01,0,16,0,16,5
"Cameroon",2016-12-01,0,6,1,7,6
"Cameroon",2017-01-01,0,23,0,23,5
"Cameroon",2017-02-01,0,5,0,5,7
"Cameroon",2017-03-01,0,1,0,1,7
"Cameroon",2017-04-01,3,7,0,10,7
"Cameroon",2017-05-01,0,5,0,5,7
"Cameroon",2017-06-01,2,22,0,24,7
"Cameroon",2017-07-01,0,22,0,22,7
"Cameroon",2017-08-01,0,35,0,35,7
"Cameroon",2017-09-01,0,16,0,16,5
"Cameroon",2017-10-01,0,24,0,24,5
"Cameroon",2017-11-01,0,7,0,7,7
"Cameroon",2017-12-01,0,24,0,24,7
"Cameroon",2018-01-01,0,20,0,20,5
"Cameroon",2018-02-01,5,23,0,28,5
"Cameroon",2018-03-01,1,5,0,6,5
"Cameroon",2018-04-01,0,15,0,15,5
"Cameroon",2018-05-01,5,3,0,8,5
"Cameroon",2018-06-01,4,8,0,12,7
"Cameroon",2018-07-01,15,27,0,42,5
"Cameroon",2018-08-01,3,6,0,9,5
"Cameroon",2018-09-01,7,43,0,50,5
"Cameroon",2018-10-01,6,10,0,16,5
"Cameroon",2018-11-01,0,10,0,10,5
"Cameroon",2018-12-01,2,17,0,19,5
"Cameroon",2019-01-01,0,11,0,11,7
"Cameroon",2019-02-01,0,23,0,23,5
"Cameroon",2019-03-01,4,25,0,29,5
"Cameroon",2019-04-01,10,26,0,36,7
"Cameroon",2019-05-01,5,9,0,14,5
"Cameroon",2019-06-01,11,1,0,12,5
"Cameroon",2019-07-01,1,6,0,7,7
"Cameroon",2019-08-01,4,7,0,11,5
"Cameroon",2019-09-01,1,3,0,4,5
"Cameroon",2019-10-01,0,1,0,1,7
"Cameroon",2019-11-01,2,4,0,6,5
"Cameroon",2019-12-01,6,5,0,11,5
"Cameroon",2020-01-01,1,40,0,41,5
"Cameroon",2020-02-01,8,38,0,46,5
"Cameroon",2020-03-01,9,22,0,31,5
"Cameroon",2020-04-01,20,27,0,47,5
"Cameroon",2020-05-01,12,19,0,31,5
"Cameroon",2020-06-01,10,16,0,26,5
"Cameroon",2020-07-01,10,26,0,36,7
"Cameroon",2020-08-01,8,39,0,47,5
"Cameroon",2020-09-01,5,30,0,35,5
"Cameroon",2020-10-01,0,19,0,19,5
"Cameroon",2020-11-01,1,18,0,19,7
"Cameroon",2020-12-01,2,29,0,31,5
"Cameroon",2021-01-01,8,37,0,45,7
"Cameroon",2021-02-01,2,8,0,10,7
"Cameroon",2021-03-01,7,12,0,19,5
"Cameroon",2021-04-01,11,6,0,17,7
"Cameroon",2021-05-01,7,14,0,21,5
"Cameroon",2021-06-01,15,5,0,20,7
"Cameroon",2021-07-01,2,5,0,7,5
"Cameroon",2021-08-01,3,14,0,17,5
"Cameroon",2021-09-01,14,9,0,23,5
"Cameroon",2021-10-01,4,9,0,13,5
"Cameroon",2021-11-01,4,11,0,15,5
"Cameroon",2021-12-01,0,15,0,15,5
"Cameroon",2022-01-01,3,7,0,10,5
"Cameroon",2022-02-01,0,11,0,11,5
"Cameroon",2022-03-01,0,13,0,13,5
"Cameroon",2022-04-01,9,18,0,27,5
"Cameroon",2022-05-01,13,14,0,27,5
"Cameroon",2022-06-01,6,71,0,77,5
"Cameroon",2022-07-01,3,23,0,26,5
"Cameroon",2022-08-01,1,12,1,14,7
"Cameroon",2022-09-01,3,16,0,19,5
"Cameroon",2022-10-01,2,12,0,14,5
"Cameroon",2022-11-01,0,4,0,4,5
"Cameroon",2022-12-01,0,7,0,7,5
"Cameroon",2023-01-01,1,19,0,20,5
"Cameroon",2023-02-01,1,18,0,19,7
"Cameroon",2023-03-01,1,14,0,15,5
"Cameroon",2023-04-01,0,11,0,11,7
"Cameroon",2023-05-01,9,8,0,17,7
"Cameroon",2023-06-01,11,14,0,25,7
"Cameroon",2023-07-01,7,33,0,40,7
"Cameroon",2023-08-01,1,30,0,31,7
"Cameroon",2023-09-01,3,20,0,23,7
"Cameroon",2023-10-01,2,3,0,5,7
"Cameroon",2023-11-01,0,59,0,59,7
"Cameroon",2023-12-01,0,34,0,34,5
"Cameroon",2024-01-01,0,23,0,23,7
"Cameroon",2024-02-01,9,5,0,14,5
"Cameroon",2024-03-01,2,3,0,5,5
"Cameroon",2024-04-01,9,34,0,43,5
"DR Congo (Zaire)",2009-01-01,0,451,0,451,7
"DR Congo (Zaire)",2009-02-01,0,344,0,344,5
"DR Congo (Zaire)",2009-03-01,2,178,0,180,5
"DR Congo (Zaire)",2009-04-01,7,328,0,335,7
"DR Congo (Zaire)",2009-05-01,8,185,0,193,5
"DR Congo (Zaire)",2009-06-01,4,68,0,72,5
"DR Congo (Zaire)",2009-07-01,2,109,0,111,5
"DR Congo (Zaire)",2009-08-01,0,243,0,243,5
"DR Congo (Zaire)",2009-09-01,0,101,0,101,5
"DR Congo (Zaire)",2009-10-01,0,40,0,40,5
"DR Congo (Zaire)",2009-11-01,0,16,0,16,5
"DR Congo (Zaire)",2009-12-01,1,174,0,175,5
"DR Congo (Zaire)",2010-01-01,0,21,0,21,5
"DR Congo (Zaire)",2010-02-01,1,87,0,88,5
"DR Congo (Zaire)",2010-03-01,1,46,0,47,5
"DR Congo (Zaire)",2010-04-01,1,81,0,82,5
"DR Congo (Zaire)",2010-05-01,3,3,0,6,5
"DR Congo (Zaire)",2010-06-01,5,47,0,52,5
"DR Congo (Zaire)",2010-07-01,0,12,0,12,5
"DR Congo (Zaire)",2010-08-01,0,8,0,8,5
"DR Congo (Zaire)",2010-09-01,0,6,0,6,5
"DR Congo (Zaire)",2010-11-01,0,28,0,28,5
"DR Congo (Zaire)",2011-01-01,8,32,0,40,5
"DR Congo (Zaire)",2011-02-01,0,19,0,19,5
"DR Congo (Zaire)",2011-03-01,0,6,0,6,5
"DR Congo (Zaire)",2011-04-01,0,10,0,10,5
"DR Congo (Zaire)",2011-05-01,7,13,0,20,5
"DR Congo (Zaire)",2011-06-01,2,18,0,20,7
"DR Congo (Zaire)",2011-07-01,0,6,0,6,5
"DR Congo (Zaire)",2011-08-01,0,13,0,13,7
"DR Congo (Zaire)",2011-09-01,0,1,0,1,7
"DR Congo (Zaire)",2011-10-01,5,10,0,15,5
"DR Congo (Zaire)",2011-11-01,0,17,0,17,7
"DR Congo (Zaire)",2011-12-01,0,7,3,10,7
"DR Congo (Zaire)",2012-01-01,0,40,0,40,7
"DR Congo (Zaire)",2012-02-01,0,17,0,17,5
"DR Congo (Zaire)",2012-03-01,0,15,0,15,5
"DR Congo (Zaire)",2012-04-01,0,4,0,4,7
"DR Congo (Zaire)",2012-05-01,0,97,5,102,7
"DR Congo (Zaire)",2012-06-01,2,6,0,8,7
"DR Congo (Zaire)",2012-07-01,4,16,0,20,5
"DR Congo (Zaire)",2012-08-01,0,19,0,19,7
"DR Congo (Zaire)",2012-09-01,3,2,0,5,5
"DR Congo (Zaire)",2012-10-01,1,5,0,6,7
"DR Congo (Zaire)",2012-11-01,10,10,0,20,5
"DR Congo (Zaire)",2012-12-01,0,1,0,1,5
"DR Congo (Zaire)",2013-01-01,0,5,0,5,5
"DR Congo (Zaire)",2013-02-01,10,10,6,26,7
"DR Congo (Zaire)",2013-03-01,2,0,0,2,7
"DR Congo (Zaire)",2013-04-01,0,11,4,15,6
"DR Congo (Zaire)",2013-05-01,2,16,0,18,5
"DR Congo (Zaire)",2013-06-01,0,18,0,18,5
"DR Congo (Zaire)",2013-07-01,4,12,0,16,5
"DR Congo (Zaire)",2013-08-01,6,0,9,15,3
"DR Congo (Zaire)",2013-09-01,0,20,5,25,7
"DR Congo (Zaire)",2013-10-01,0,39,4,43,7
"DR Congo (Zaire)",2013-11-01,1,26,0,27,5
"DR Congo (Zaire)",2013-12-01,1,52,0,53,5
"DR Congo (Zaire)",2014-01-01,0,2,0,2,5
"DR Congo (Zaire)",2014-02-01,1,0,0,1,1
"DR Congo (Zaire)",2014-03-01,2,1,0,3,5
"DR Congo (Zaire)",2014-04-01,2,8,0,10,7
"DR Congo (Zaire)",2014-05-01,28,1,0,29,5
"DR Congo (Zaire)",2014-06-01,0,15,37,52,7
"DR Congo (Zaire)",2014-07-01,0,7,0,7,5
"DR Congo (Zaire)",2014-08-01,0,8,0,8,5
"DR Congo (Zaire)",2014-09-01,0,9,0,9,5
"DR Congo (Zaire)",2014-10-01,3,124,0,127,5
"DR Congo (Zaire)",2014-11-01,0,142,0,142,5
"DR Congo (Zaire)",2014-12-01,0,93,0,93,5
"DR Congo (Zaire)",2015-01-01,1,13,0,14,5
"DR Congo (Zaire)",2015-02-01,2,87,0,89,5
"DR Congo (Zaire)",2015-03-01,1,27,0,28,5
"DR Congo (Zaire)",2015-04-01,0,60,0,60,5
"DR Congo (Zaire)",2015-05-01,1,60,0,61,5
"DR Congo (Zaire)",2015-06-01,5,6,0,11,5
"DR Congo (Zaire)",2015-07-01,0,17,0,17,4
"DR Congo (Zaire)",2015-08-01,0,1,0,1,5
"DR Congo (Zaire)",2015-09-01,5,12,0,17,5
"DR Congo (Zaire)",2015-10-01,0,14,0,14,5
"DR Congo (Zaire)",2015-11-01,3,28,0,31,5
"DR Congo (Zaire)",2015-12-01,4,10,0,14,5
"DR Congo (Zaire)",2016-01-01,0,27,0,27,7
"DR Congo (Zaire)",2016-02-01,0,22,6,28,7
"DR Congo (Zaire)",2016-03-01,0,2,3,5,7
"DR Congo (Zaire)",2016-04-01,0,0,1,1,3
"DR Congo (Zaire)",2016-05-01,6,38,0,44,5
"DR Congo (Zaire)",2016-06-01,2,0,0,2,1
"DR Congo (Zaire)",2016-07-01,6,29,0,35,7
"DR Congo (Zaire)",2016-08-01,17,88,0,105,7
"DR Congo (Zaire)",2016-09-01,0,69,0,69,7
"DR Congo (Zaire)",2016-10-01,27,85,3,115,7
"DR Congo (Zaire)",2016-11-01,1,40,0,41,7
"DR Congo (Zaire)",2016-12-01,1,98,0,99,7
"DR Congo (Zaire)",2017-01-01,8,20,26,54,7
"DR Congo (Zaire)",2017-02-01,10,75,2,87,7
